Country Name,Country Code,Year,GDP per capita constant 2015 US$,Gov expenditure pct GDP
St. Lucia,LCA,2012,10517.2777635533,27.727514
Suriname,SUR,2012,9140.92898611536,26.651653
Turkiye,TUR,2012,9588.32066531438,34.134113
Brazil,BRA,2013,9366.73824670239,39.78084
Equatorial Guinea,GNQ,2013,10731.6455729191,29.273598
Maldives,MDV,2013,9213.32791442475,26.990568
Mexico,MEX,2013,9738.71059803658,26.66851
Russian Federation,RUS,2013,9601.537109375,34.65187
St. Lucia,LCA,2013,10279.4155096001,25.083422
Suriname,SUR,2013,9303.46008775809,26.870714
Turkiye,TUR,2013,10269.4489140773,33.701656
Brazil,BRA,2014,9338.34170840985,41.42643
Equatorial Guinea,GNQ,2014,10363.4872473549,31.597902
Malaysia,MYS,2014,9341.73055971278,25.956966
Maldives,MDV,2014,9612.07861806739,29.084438
Mexico,MEX,2014,9862.48125444199,26.949417
Russian Federation,RUS,2014,9493.8125,34.93819
St. Lucia,LCA,2014,10369.9382566513,23.387672
Suriname,SUR,2014,9224.24378410547,27.198637
Turkiye,TUR,2014,10597.9801881716,32.61968
Equatorial Guinea,GNQ,2015,9068.91003238645,41.57078
Malaysia,MYS,2015,9648.6797937523,24.708185
Maldives,MDV,2015,9644.90655028145,33.78895
Mexico,MEX,2015,10021.2386118827,26.557375
Russian Federation,RUS,2015,9277.7138671875,35.273453
St. Lucia,LCA,2015,10334.9860823918,23.504478
Malaysia,MYS,2016,9901.47960179812,22.857676
Maldives,MDV,2016,9909.07669723415,37.339664
Mexico,MEX,2016,10100.5021214015,26.52252
Romania,ROU,2016,9286.87678236598,31.812971
Russian Federation,RUS,2016,9269.3193359375,36.58621
St. Lucia,LCA,2016,10644.1612913407,22.627817
China,CHN,2017,9221.51403820573,32.635162
Grenada,GRD,2017,9357.40728883583,22.589148
Malaysia,MYS,2017,10293.7629205362,22.04306
Maldives,MDV,2017,10263.2991147672,30.356897
Mexico,MEX,2017,10193.7727193457,25.01818
Romania,ROU,2017,10106.2269557253,31.018637
Russian Federation,RUS,2017,9418.9140625,34.83017
St. Lucia,LCA,2017,10960.4843512477,23.105947
China,CHN,2018,9798.6528523316,33.276943
Grenada,GRD,2018,9744.16919577204,22.369394
Malaysia,MYS,2018,10610.1950240479,22.799944
Maldives,MDV,2018,10793.8941325367,31.886425
Mexico,MEX,2018,10296.8690928534,24.969736
Romania,ROU,2018,10714.1701157127,31.729296
Russian Federation,RUS,2018,9674.787109375,32.620975
China,CHN,2019,10356.4804194995,34.15261
Grenada,GRD,2019,9785.56040240592,21.642614
Malaysia,MYS,2019,10902.9834855856,23.575
Mexico,MEX,2019,10159.4448364319,25.241837
Russian Federation,RUS,2019,9882.0244140625,33.752262
China,CHN,2020,10573.6420059282,35.402733
Guyana,GUY,2020,9010.61000469878,30.544445
Malaysia,MYS,2020,10171.4657842762,25.040268
Mexico,MEX,2020,9234.64362317923,27.788595
Romania,ROU,2020,10854.049431887,38.18274
Russian Federation,RUS,2020,9632.3251953125,39.152565
Bulgaria,BGR,2021,9161.47737990726,38.606636
Guyana,GUY,2021,10711.9973374148,26.009218
Malaysia,MYS,2021,10388.2667120857,24.45074
Maldives,MDV,2021,9759.2219360708,40.614864
Mexico,MEX,2021,9728.05680032556,26.754974
Russian Federation,RUS,2021,10231.318359375,34.669888
St. Lucia,LCA,2021,9336.92127417129,25.831581
Brazil,BRA,2022,9032.08377657776,43.44533
Bulgaria,BGR,2022,9597.86796406548,37.689526
Grenada,GRD,2022,9406.19337643226,31.808434
Maldives,MDV,2022,10939.9963271738,42.02894
Mexico,MEX,2022,10013.2479236143,28.57851
Russian Federation,RUS,2022,10119.0625,35.558132
Brazil,BRA,2023,9288.02594608687,45.449196
Bulgaria,BGR,2023,9787.26510772747,37.742313
Grenada,GRD,2023,9817.86383583917,28.924675
Mexico,MEX,2023,10259.1766616403,28.67154
Russian Federation,RUS,2023,10562.0263671875,36.528725
St. Vincent and the Grenadines,VCT,2023,9051.35208011007,38.010178
